Ano;N° Emenda;Partido;Parlamentar;Cód. Parlamentar Solicitante (a partir de 2025);Parlamentar Solicitante (a partir de 2025);UF;Cód. Município IBGE;Municipio;Esfera Administrativa;Tipo de Emenda;Grupo de Despesa;Subfunção;Fonte;Funcional;Data Inicio Proposta;N° Instrumento;TGov Parceria;Tipo de Repasse;Tipo de Instrumento;Ação Orç.;Programa Estratégico;Componente;CNPJ Beneficiário;Beneficiário;Nr. Portaria;Data Portaria;Situação (Portal FNS);Situação (DS PROPOSTA);Data Último Pgto;Instrumento (R$);Empenhado (R$);Pago (R$)
2026;43170005;PL;CABO GILBERTO SILVA;não se aplica;não se aplica;PB;250690;ITABAIANA;MUNICIPAL;INDIVIDUAL;CAPITAL;302;1001;10302511885350025;29/04/2026;07615929000126016;202600035126;FAF;EQUIPAMENTO;8535;ATENÇÃO ESPECIALIZADA À SAÚDE;AGORA TEM ESPECIALISTA - TRANSPORTE SANITÁRIO;07615929000174;FUNDO MUNICIPAL DE SAUDE;11272;20/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$889.200,00;R$889.200,00;R$0,00
2026;43170007;PL;CABO GILBERTO SILVA;não se aplica;não se aplica;PB;251530;SAPE;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;30/03/2026;36000781733202600;202600006735;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;08036438000131;FUNDO MUNICIPAL DE SAUDE DE SAPE;10713;07/04/2026;PROPOSTA PAGA;Proposta Paga;21/05/2026;R$1.500.000,00;R$1.500.000,00;R$1.500.000,00
2026;12770002;PL;WELLINGTON ROBERTO;não se aplica;não se aplica;PB;250200;BELEM DO BREJO DO CRUZ;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;09/03/2026;36000754527202600;202600014536;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;12461113000173;FUNDO MUNICIPAL DE SAUDE DE BELEM DO BREJO DO CRUZ;10443;27/03/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$250.000,00;R$250.000,00;R$0,00
2026;12770002;PL;WELLINGTON ROBERTO;não se aplica;não se aplica;PB;251220;PRATA;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;10/03/2026;36000756748202600;202600023886;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11356674000140;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PRATA;10973;30/04/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$300.000,00;R$300.000,00;R$0,00
2026;12770003;PL;WELLINGTON ROBERTO;não se aplica;não se aplica;PB;251220;PRATA;MUNICIPAL;INDIVIDUAL;CAPITAL;301;1001;10301511985810025;03/05/2026;11356674000126007;202600028440;FAF;EQUIPAMENTO;8581;ATENÇÃO PRIMÁRIA À SAÚDE;EQUIPAMENTOS - UBS;11356674000140;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PRATA;11061;11/05/2026;PROPOSTA PAGA;Proposta Paga;26/05/2026;R$220.080,00;R$220.080,00;R$220.080,00
2026;41410003;PP;DANIELLA RIBEIRO;não se aplica;não se aplica;PB;250140;BAIA DA TRAICAO;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;13/03/2026;36000761884202600;202600006512;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;13923732000103;FUNDO MUNICIPAL DE SAUDE DE BAIA DA TRAICAO-PB;10498;31/03/2026;PROPOSTA PAGA;Proposta Paga;11/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;27110001;PP;AGUINALDO RIBEIRO;não se aplica;não se aplica;PB;250600;ESPERANCA;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;06/03/2026;36000748915202600;202600006575;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;12011984000195;FUNDO MUNICIPAL DE SAUDE;10430;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$400.000,00;R$400.000,00;R$400.000,00
2026;27140001;PODE;ROMERO RODRIGUES;não se aplica;não se aplica;PB;250750;JOAO PESSOA;ESTADUAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;23/03/2026;36000771503202600;202600014601;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;03609595000175;FUNDO ESTADUAL DE SAUDE DO ESTADO DA PARAIBA - FESEP;10684;06/04/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$2.000.000,00;R$2.000.000,00;R$2.000.000,00
2026;27140002;PODE;ROMERO RODRIGUES;não se aplica;não se aplica;PB;250120;AREIAL;MUNICIPAL;INDIVIDUAL;CORRENTE;301;1001;1030151192E890025;16/03/2026;36000764564202600;202600006508;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;13876013000170;FUNDO MUNICIPAL DE SAUDE DE AREIAL;10430;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$1.500.000,00;R$1.500.000,00;R$1.500.000,00
2026;27110002;PP;AGUINALDO RIBEIRO;não se aplica;não se aplica;PB;251270;REMIGIO;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;25/03/2026;36000776830202600;202600014637;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11376311000176;FUNDO MUNICIPAL DE SAUDE - REMIGIO - PB;10684;06/04/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$400.000,00;R$400.000,00;R$400.000,00
2026;41410006;PP;DANIELLA RIBEIRO;não se aplica;não se aplica;PB;250450;CONDADO;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;16/03/2026;36000764174202600;202600014568;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;04275034000140;FUNDO MUNICIPAL DE SAUDE;10446;27/03/2026;PROPOSTA PAGA;Proposta Paga;08/05/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;41410006;PP;DANIELLA RIBEIRO;não se aplica;não se aplica;PB;250700;ITAPORANGA;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;03/03/2026;36000742214202600;202600014595;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11174552000132;FUNDO MUNICIPAL DE SAUDE DE ITAPORANGA;10446;27/03/2026;PROPOSTA PAGA;Proposta Paga;08/05/2026;R$340.000,00;R$340.000,00;R$340.000,00
2026;44320006;PP;MERSINHO LUCENA;não se aplica;não se aplica;PB;250110;AREIA;MUNICIPAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E900025;17/03/2026;36000765581202600;202600043870;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11268285000162;FUNDO MUNICIPAL DE SAUDE;12082;07/08/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$1.000.000,00;R$1.000.000,00;R$0,00
2026;44320010;PP;MERSINHO LUCENA;não se aplica;não se aplica;PB;250750;JOAO PESSOA;ESTADUAL;INDIVIDUAL;CORRENTE;302;1001;1030251182E901436;23/03/2026;36000771661202600;202600014603;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;03609595000175;FUNDO ESTADUAL DE SAUDE DO ESTADO DA PARAIBA - FESEP;10443;27/03/2026;PROPOSTA PAGA;Proposta Paga;06/05/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;44320014;PP;MERSINHO LUCENA;não se aplica;não se aplica;PB;250960;MONTE HOREBE;MUNICIPAL;INDIVIDUAL;CAPITAL;301;1001;10301511985810025;23/04/2026;12445872000126003;202600030056;FAF;EQUIPAMENTO;8581;ATENÇÃO PRIMÁRIA À SAÚDE;EQUIPAMENTOS - UBS;12445872000142;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE MONTE HOREBE - PB;11166;13/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$248.670,00;R$248.670,00;R$0,00
