Cod. Item;Item;Definicao;Classificacao; R$ Valor Sugerido ;Item Dolarizado;Especificacao Sugerida;Tipo
11446;Exercitador de Pés e Tornozelo;Equipamento para realização de exercícios de flexo-extensão de tornozelo e pés, através de exercícios ativos buscando o fortalecimento do tornozelo.;Médico Assistencial;R$ 416,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11984;Expansor de Áudio;É um processador de dinâmica que aumenta a faixa dinâmica de um sinal de áudio.;Apoio;R$ 6.659,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
10851;Expansor de Pele;Utilizado em procedimentos cirúrgicos, como enxerto, para promover maior elasticidade da pele.;Apoio;R$ 182.608,00;N;Clique para Detalhar;ESPECIALIZADO
1074;Extrator Manual de Plasma;Equipamento desenvolvido para extração de plasma, preparo de componentes ou fracionamento do sangue após centrifugação.;Apoio;R$ 2.159,00;N;Clique para Detalhar;ESPECIALIZADO
460;Extrator/ Purificador de Material Genético;Equipamento destinado a extração ou purificação da amostra para obtenção do material genético.;Médico Assistencial;R$ 135.392,00;N;Clique para Detalhar;ESPECIALIZADO
11943;Extrusora de Co-Rotação com Duplo Parafuso Aquecido;"Equipamento utilizado para misturar, fundir, dispersar, reagir e conformar materiais
termoplásticos ou pastosos sob alta temperatura e cisalhamento controlado, com alto grau de homogeneização e flexibilidade de formulação.";Apoio;R$ 319.675,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
1554;Facoemulsificador;Equipamento destinado às cirurgias de catarata pela técnica de facoemulsificação ultrassônica.;Médico Assistencial;R$ 405.667,00;N;Clique para Detalhar;ESPECIALIZADO
1980;Ferro Elétrico Industrial;Ferro elétrico industrial, utilizado para passar roupas.;Gerais;R$ 1.160,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2982;FES;A estimulação elétrica funcional é utilizada para contrair os músculos por meio da corrente elétrica.;Médico Assistencial;R$ 2.371,00;N;Clique para Detalhar;ESPECIALIZADO
11905;Flauta;Instrumento musical de sopro, com formato de um tubo oco com orifícios que emitem sons.;Apoio;R$ 42,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11884;Fluorômetro;Equipamentos utilizado para quantificar ácido nucléicos (DNA e RNA) por meio de fluorescência.;Apoio;R$ 30.699,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
10795;Foco Cirúrgico de Solo Móvel;Foco cirúrgico portátil composto por base móvel com rodízio e cúpula (s).;Médico Assistencial;R$ 30.045,00;N;Clique para Detalhar;ESPECIALIZADO
3020;Foco Cirúrgico de Teto;Sistema de iluminação, de estrutura fixa, utilizado para auxiliar a visualização  dos profissionais durante a realização de procedimentos/intervenções médicas.;Médico Assistencial;R$ 55.660,00;N;Clique para Detalhar;ESPECIALIZADO
11417;Foco Cirúrgico de Teto com Câmera de Vídeo;Foco cirúrgico com câmera, de estrutura fixa, sistema de iluminação e vídeo utilizado para auxiliar a visualização em tempo real à equipe do centro cirúrgico.;Médico Assistencial;R$ 148.116,00;N;Clique para Detalhar;ESPECIALIZADO
971;Foco Refletor Ambulatorial;Equipamento com foco refletor parabólico de uso em consultórios.;Médico Assistencial;R$ 799,00;N;Clique para Detalhar;ESPECIALIZADO
2894;Fogão;Utensílio usado para cozinhar, por meio de calor, produzido por elemento combustível o gás.;Gerais;R$ 2.048,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2416;Fogão Industrial;Fogão a gás para uso industrial.;Gerais;R$ 3.621,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11987;Fone de Ouvido Monoauricular;É um headset ou fone que possui apenas um alto-falante para o usuário ouvir o áudio, cobrindo, portanto, somente uma orelha.;Apoio;R$ 117,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
1618;Forno de Despirogenização;Equipamento essencial na indústria farmacêutica, projetado para esterilizar e eliminar pirógenos de materiais como frascos, ampolas e utensílios de vidro, garantindo a segurança e a pureza dos produtos finais.;Apoio;R$ 2.991.773,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
1994;Forno de Microondas;Forno elétrico para aquecimento através de microondas, para utilização em ambientes de nutrição.;Gerais;R$ 784,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11829;Forno de Sinterização de Zircônia;Equipamento utilizado para sinterização de zircônias, cristalização de dissilicato e glaze de cerâmicas.;Apoio;R$ 52.300,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
