Proposta;Ano da proposta;IBGE;UF;Município;Nome da unidade;Componente;Porte;Situação no SISMOB;Data do repasse;Execução física (%) SISMOB;Data prevista de conclusão SISMOB;Dias sem monitoramento SISMOB;Data do último contato equipe PAC;Situação equipe PAC;Prioridade de contato;Ações;Quem fez o contato?;Data do contato;Execução informada pelo ente (%);Data/Previsão de conclusão informada pelo ente;Data/Previsão de inauguração informada pelo ente;Observações e problemas
2023;250890;PB;Mamanguape;Centro Especializado Em Reabilitação;Centro Especializado em Reabilitação;Física, Intelectual e Visual;Em execução e conclusão;45870;25/02/1900;46417;06/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46275;25/02/1900;46417;;;
2024;250890;PB;Mamanguape;Construção de Ubs - Pitanga;Unidade Básica de Saúde;I;Em execução e conclusão;45779;30/01/1900;46233;21/02/1900;;Em execução, conclusão atrasada;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;46266;30/01/1900;46598;;;
2025;250890;PB;Mamanguape;Areal I;Unidade Básica de Saúde;I;Em início de execução;46136;00/01/1900;46752;21/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;00/01/1900;46752;;;
2025;250890;PB;Mamanguape;Caps Ad Iii Regional Vale do Mamanguape;Centro de Atenção Psicossocial;ad III;Em início de execução;46139;15/01/1900;46630;21/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;15/01/1900;46630;;;
2024;250900;PB;Manaíra;Construção de Unidade Básica  ;Unidade Básica de Saúde;I;Em execução e conclusão;45855;24/02/1900;46387;14/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46275;24/02/1900;46387;;;
2024;250900;PB;Manaíra;Construção de Unidade Básica  de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45855;29/02/1900;46387;14/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46275;29/02/1900;46387;;;
2025;250980;PB;Mulungu;Ubs Iii Euclides Pereira Alves;Unidade Básica de Saúde;I;Em início de execução;46185;00/01/1900;46418;12/01/1900;;Em início de execução;Baixa;;Bartolomeu Lima;46280;00/01/1900;46752;;;
2024;251020;PB;Nova Olinda;Construção de Unidade Básica  de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45916;30/01/1900;46417;07/02/1900;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;30/01/1900;46417;;;
2026;251080;PB;Patos;Caps Ii Adulto de Patos;Centro de Atenção Psicossocial;II;Em ação preparatória;;00/01/1900;;13/01/1900;;Etapa VISA;Baixa;;Bartolomeu Lima;46280;;;;Em Ação Preparatória;
2026;251080;PB;Patos;Ubs São Judas Tadeu;Unidade Básica de Saúde;I;Em ação preparatória;;00/01/1900;;13/01/1900;;Etapa VISA;Baixa;;Bartolomeu Lima;46280;;;;Em Ação Preparatória;
2024;251130;PB;Piancó;Centro de Parto Normal;Centro de Parto Normal;Peri-hospitalar;Em execução e conclusão;45838;20/03/1900;46356;06/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46275;20/03/1900;;30/11/2026;;
2025;251130;PB;Piancó;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46120;00/01/1900;;08/03/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46281;00/01/1900;;;Obra inciada em 14/09/2026;
2025;251140;PB;Picuí;Centro de Atenção Psicossocial (Caps);Centro de Atenção Psicossocial;I;Em início de execução;46176;00/01/1900;;25/04/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46275;;;;Aguardando Retorno;
2024;251180;PB;Pirpirituba;Unidade de Saude da Familia I Dr Jose Pereira dos Santos;Unidade Básica de Saúde;I;Em execução e conclusão;45579;09/04/1900;;03/02/1900;45987;Em funcionamento;Baixa;"• Pedir superação de etapa 'Execução e conclusão'
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;46280;09/04/1900;;;Em funcionamento;
2024;251190;PB;Pitimbu;Ubs Guarita;Unidade Básica de Saúde;I;Em execução e conclusão;45828;30/01/1900;46387;04/08/1900;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46275;30/01/1900;;;Reforçado e 16/09. Houve paralisação da obra;
2024;251210;PB;Pombal;Centro Especializado Em Reabilitação;Centro Especializado em Reabilitação;Física e Intelectual;Em execução e conclusão;45828;06/02/1900;46582;13/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46275;06/02/1900;46582;;;
2024;251210;PB;Pombal;Centro de Atenção Psicossocial;Centro de Atenção Psicossocial;I;Em execução e conclusão;45786;12/02/1900;46391;11/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46275;12/02/1900;46391;;;
2025;251250;PB;Queimadas;Nova Ubsf Guritiba;Unidade Básica de Saúde;I;Em início de execução;46111;10/01/1900;46568;30/03/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46275;30/01/1900;46568;;;
2025;251270;PB;Remígio;Centro de Atenção Psicossocial;Centro de Atenção Psicossocial;I;Em início de execução;46113;00/01/1900;;15/05/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46281;;;;Aguardando Retorno;
2025;251275;PB;Riachão do Bacamarte;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46118;00/01/1900;;01/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46275;00/01/1900;;;Em atualização ;
2024;251280;PB;Riacho dos Cavalos;Construção de Ubs;Unidade Básica de Saúde;I;Em início de execução;45881;29/01/1900;46376;06/01/1900;;Em início de execução;Alta;;Bartolomeu Lima;46266;29/01/1900;46376;;;
2024;251340;PB;Santa Luzia;Construção de Unidade Básica  de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45637;18/03/1900;46326;10/02/1900;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46276;18/03/1900;46326;;Solicitou prorrogação;
2025;251370;PB;Santa Rita;Construção Centros de Atenção Psicossocial (Caps), No Município de Santa Rita/Pb.;Centro de Atenção Psicossocial;II;Obra paralisada;46113;00/01/1900;;20/06/1900;;Obra paralisada;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46276;;;;Novo Processo Licitatório em andamento;
2025;251370;PB;Santa Rita;Construção da Ubs No Bairro Jardins;Unidade Básica de Saúde;I;Em início de execução;46118;14/01/1900;46356;09/03/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46276;05/02/1900;46356;;;
2024;251390;PB;São Bento;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45853;30/01/1900;46526;09/02/1900;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46276;30/01/1900;;;Aguardando Retorno;
2025;251398;PB;São Francisco;Ubs-Dr Joao Bosco Gadelha de Oliveira;Unidade Básica de Saúde;I;Em início de execução;46140;00/01/1900;;11/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;;;;Aguardando Retorno;
2025;250070;PB;São João do Rio do Peixe;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46118;00/01/1900;;25/05/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46281;;;;Aguardando Retorno;
2025;251410;PB;São João do Tigre;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Em início de execução;46139;00/01/1900;;10/01/1900;;Em início de execução;Baixa;;Bartolomeu Lima;46279;14/01/1900;46436;;;
2024;251455;PB;São José de Princesa;Psf I Sao Jose de Princesa;Unidade Básica de Saúde;I;Em execução e conclusão;45779;16/03/1900;46387;13/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46276;16/03/1900;46387;;;
2024;251530;PB;Sapé;Ubs José Kelton - Coqueiros;Unidade Básica de Saúde;I;Em início de execução;45779;00/01/1900;;26/01/1900;;Em início de execução;Alta;;Bartolomeu Lima;46276;;;;Obra concluída;
2024;251530;PB;Sapé;Ubs  José Franscico - Portal Ii;Unidade Básica de Saúde;I;Em início de execução;45779;00/01/1900;;29/03/1900;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46276;09/04/1900;;;Aguardando Retorno;
2024;251550;PB;Serra Branca;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45855;18/02/1900;46387;16/02/1900;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46276;29/02/1900;46387;;;
2024;251580;PB;Serra Redonda;Construção de Ubs - Conjunto Mariz Ii;Unidade Básica de Saúde;I;Em início de execução;45779;00/01/1900;;24/05/1901;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46276;;;;Aguardando Retorno;
2025;251600;PB;Solânea;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46118;10/01/1900;46446;14/01/1900;;Em início de execução;Baixa;;Bartolomeu Lima;46280;10/01/1900;46446;;;
2024;251615;PB;Sossêgo;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45779;30/01/1900;46387;29/05/1900;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46276;30/01/1900;46387;;;
2025;251640;PB;Tacima;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46139;00/01/1900;;28/01/1900;;Em início de execução;Baixa;;Bartolomeu Lima;46280;;;;Aguardando Retorno;
2025;251670;PB;Teixeira;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46136;00/01/1900;;12/01/1900;;Em início de execução;Baixa;;Bartolomeu Lima;46280;;;;;
2024;251675;PB;Tenório;Ubs Zona Rural;Unidade Básica de Saúde;I;Em execução e conclusão;45800;20/03/1900;46326;14/01/1900;46203;Em execução e conclusão;Alta;;Bartolomeu Lima;46276;20/03/1900;46326;;;
2025;251700;PB;Umbuzeiro;Nova Ubs Mata Virgem;Unidade Básica de Saúde;I;Em início de execução;46136;30/01/1900;46476;07/01/1900;;Em início de execução;Baixa;"• Pedir superação de etapa 'Início de execução'
";Bartolomeu Lima;46280;30/01/1900;46476;;Termo inserido no SISMOB;
2025;251720;PB;Vieirópolis;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46120;00/01/1900;;08/02/1900;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46280;;;;Aguardando Retorno;
