Ano;N° Emenda;Partido;Parlamentar;Cód. Parlamentar Solicitante (a partir de 2025);Parlamentar Solicitante (a partir de 2025);UF;Cód. Município IBGE;Municipio;Esfera Administrativa;Tipo de Emenda;Grupo de Despesa;Subfunção;Fonte;Funcional;Data Inicio Proposta;N° Instrumento;TGov Parceria;Tipo de Repasse;Tipo de Instrumento;Ação Orç.;Programa Estratégico;Componente;CNPJ Beneficiário;Beneficiário;Nr. Portaria;Data Portaria;Situação (Portal FNS);Situação (DS PROPOSTA);Data Último Pgto;Instrumento (R$);Empenhado (R$);Pago (R$)
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250915;MARIZOPOLIS;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;07/05/2026;36000802123202600;202600036605;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11404727000150;FUNDO MUNICIPAL DE SAUDE;11402;26/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$300.000,00;R$300.000,00;R$300.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250490;CRUZ DO ESPIRITO SANTO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;06/05/2026;36000801208202600;202600036587;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;23014200000107;FUNDO MUNICIPAL DE SAUDE DE CRUZ DO ESPIRITO SANTO;11413;26/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$1.000.000,00;R$1.000.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251060;OURO VELHO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;11/05/2026;36000803920202600;202600035581;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11348410000144;FUNDO MUNICIPAL DE SAUDE DE OURO VELHO;11331;20/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$1.000.000,00;R$1.000.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250680;INGA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;17/05/2026;36000806460202600;202600036595;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;08610110000187;FUNDO MUNICIPAL DE SAUDE DE INGA/PB;11413;26/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$2.000.000,00;R$2.000.000,00;R$0,00
2026;71160003;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251370;SANTA RITA;PRIVADA;BANCADA OBRIGATÓRIA;CAPITAL;302;1001;10302511885358697;14/05/2026;90943326006;-;CONVENIO;CONVÊNIO EQUIPAMENTO;8535;ATENÇÃO ESPECIALIZADA À SAÚDE;Rede Alyne - Maternidade;09433715000102;FUNDACAO GOVERNADOR FLAVIO RIBEIRO COUTINHO;-;09/07/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$200.000,00;R$200.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250190;BELEM;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;19/05/2026;36000807076202600;202600036580;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11429813000118;FUNDO MUNICIPAL DE SAUDE DE BELEM;11413;26/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250010;AGUA BRANCA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;06/05/2026;36000801070202600;202600026477;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;10502869000198;FUNDO MUNICIPAL DE SAUDE DE AGUA BRANCA;11045;08/05/2026;PROPOSTA PAGA;Proposta Paga;25/06/2026;R$100.000,00;R$100.000,00;R$100.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250840;LASTRO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;12/05/2026;36000804400202600;202600035556;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11304889000117;FUNDO MUNICIPAL DE SAUDE DE LASTRO;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250040;ALAGOA NOVA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;04/06/2026;36000812575202600;202600040119;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11838096000188;FUNDO MUNICIPAL DE SAUDE DE ALAGOA NOVA;11611;19/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$200.000,00;R$200.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251360;SANTANA DOS GARROTES;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;26/05/2026;36000809642202600;202600040150;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;12290612000145;FUNDO MUNICIPAL DE SAUDE DE SANTANA DOS GARROTES;11611;19/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$500.000,00;R$500.000,00;R$0,00
